0.precision	0.recall	0.f1-score	0.support	1.precision	1.recall	1.f1-score	1.support	2.precision	2.recall	2.f1-score	2.support	accuracy	macro avg.precision	macro avg.recall	macro avg.f1-score	macro avg.support	weighted avg.precision	weighted avg.recall	weighted avg.f1-score	weighted avg.support
0.5873015873015873	0.9024390243902439	0.7115384615384616	41	0.0	0.0	0.0	18	0.2222222222222222	0.15384615384615385	0.18181818181818185	13	0.5416666666666666	0.2698412698412698	0.3520950594121326	0.29778554778554783	72	0.37455908289241624	0.5416666666666666	0.43800990675990675	72
0.6481481481481481	0.8536585365853658	0.7368421052631579	41	1.0	0.1111111111111111	0.19999999999999998	18	0.1875	0.23076923076923078	0.20689655172413793	13	0.5555555555555556	0.6118827160493827	0.39851295948856924	0.3812462189957653	72	0.6529385288065844	0.5555555555555556	0.5069469651139342	72
0.5714285714285714	0.0975609756097561	0.16666666666666669	41	0.0	0.0	0.0	18	0.18461538461538463	0.9230769230769231	0.3076923076923077	13	0.2222222222222222	0.252014652014652	0.34021263289555975	0.15811965811965814	72	0.35873015873015873	0.2222222222222222	0.15046296296296297	72
0.6153846153846154	0.7804878048780488	0.6881720430107527	41	1.0	0.05555555555555555	0.10526315789473684	18	0.10526315789473684	0.15384615384615385	0.125	13	0.4861111111111111	0.573549257759784	0.3299631714265861	0.3061450669684965	72	0.6194331983805669	0.4861111111111111	0.4407609806325851	72
0.6226415094339622	0.8048780487804879	0.7021276595744681	41	0.0	0.0	0.0	18	0.2631578947368421	0.38461538461538464	0.3125	13	0.5277777777777778	0.2952664680569348	0.3964978111319575	0.33820921985815605	72	0.4020743683107139	0.5277777777777778	0.45624630614657213	72
0.5740740740740741	0.7560975609756098	0.6526315789473683	41	1.0	0.05555555555555555	0.10526315789473684	18	0.058823529411764705	0.07692307692307693	0.06666666666666667	13	0.4583333333333333	0.5442992011619462	0.2961920644847474	0.27485380116959063	72	0.5875242072137498	0.4583333333333333	0.409990253411306	72
0.5932203389830508	0.8536585365853658	0.6999999999999998	41	0.0	0.0	0.0	18	0.15384615384615385	0.15384615384615385	0.15384615384615385	13	0.5138888888888888	0.24902216427640156	0.33583489681050654	0.28461538461538455	72	0.36558380414312613	0.5138888888888888	0.42638888888888876	72
0.5416666666666666	0.6341463414634146	0.5842696629213483	41	1.0	0.05555555555555555	0.10526315789473684	18	0.13043478260869565	0.23076923076923078	0.16666666666666669	13	0.4166666666666667	0.557367149758454	0.30682370926273367	0.2853998291609173	72	0.5819997987117552	0.4166666666666667	0.38911749567426684	72
0.5384615384615384	0.17073170731707318	0.25925925925925924	41	1.0	0.05555555555555555	0.10526315789473684	18	0.20689655172413793	0.9230769230769231	0.3380281690140845	13	0.2777777777777778	0.5817860300618921	0.3831213953165173	0.23418352872269352	72	0.5939802534630121	0.2777777777777778	0.23498239817941652	72
0.5964912280701754	0.8292682926829268	0.6938775510204082	41	0.5	0.1111111111111111	0.1818181818181818	18	0.18181818181818182	0.15384615384615385	0.16666666666666669	13	0.5277777777777778	0.4261031366294525	0.3647418525467305	0.3474541331684189	72	0.4974968988126883	0.5277777777777778	0.47067185460042604	72
0.5660377358490566	0.7317073170731707	0.6382978723404255	41	0.0	0.0	0.0	18	0.2222222222222222	0.3076923076923077	0.2580645161290323	13	0.4722222222222222	0.26275331935709295	0.3464665415884928	0.2987874628231526	72	0.3624505008152807	0.4722222222222222	0.4100701593838176	72
0.5882352941176471	0.7317073170731707	0.6521739130434783	41	0.0	0.0	0.0	18	0.14285714285714285	0.23076923076923078	0.17647058823529413	13	0.4583333333333333	0.24369747899159666	0.32082551594746717	0.2762148337595908	72	0.3607609710550887	0.4583333333333333	0.4032395566922421	72
0.5384615384615384	0.6829268292682927	0.6021505376344086	41	0.0	0.0	0.0	18	0.2	0.3076923076923077	0.24242424242424246	13	0.4444444444444444	0.24615384615384617	0.33020637898686683	0.28152492668621704	72	0.34273504273504274	0.4444444444444444	0.3866623221461931	72
0.6101694915254238	0.8780487804878049	0.7200000000000001	41	0.0	0.0	0.0	18	0.07692307692307693	0.07692307692307693	0.07692307692307693	13	0.5138888888888888	0.22903085614950025	0.31832395247029394	0.2656410256410257	72	0.361346516007533	0.5138888888888888	0.4238888888888889	72
0.5517241379310345	0.7804878048780488	0.6464646464646465	41	0.0	0.0	0.0	18	0.14285714285714285	0.15384615384615385	0.14814814814814817	13	0.4722222222222222	0.23152709359605908	0.31144465290806755	0.2648709315375982	72	0.33996989600437877	0.4722222222222222	0.3948746726524505	72
0.5849056603773585	0.7560975609756098	0.6595744680851064	41	0.0	0.0	0.0	18	0.16666666666666666	0.23076923076923078	0.1935483870967742	13	0.4722222222222222	0.25052410901467503	0.3289555972482802	0.28437428506062684	72	0.3631638714185884	0.4722222222222222	0.4105372531076032	72
0.578125	0.9024390243902439	0.7047619047619048	41	0.0	0.0	0.0	18	0.125	0.07692307692307693	0.09523809523809525	13	0.5277777777777778	0.234375	0.326454033771107	0.26666666666666666	72	0.3517795138888889	0.5277777777777778	0.4185185185185185	72
0.2	0.024390243902439025	0.04347826086956522	41	0.0	0.0	0.0	18	0.14925373134328357	0.7692307692307693	0.24999999999999997	13	0.1527777777777778	0.11641791044776119	0.26454033771106944	0.09782608695652173	72	0.14083747927031512	0.1527777777777778	0.06989734299516909	72
