0.precision	0.recall	0.f1-score	0.support	1.precision	1.recall	1.f1-score	1.support	2.precision	2.recall	2.f1-score	2.support	accuracy	macro avg.precision	macro avg.recall	macro avg.f1-score	macro avg.support	weighted avg.precision	weighted avg.recall	weighted avg.f1-score	weighted avg.support
0.4	0.04878048780487805	0.08695652173913045	41	0.07142857142857142	0.05555555555555555	0.0625	18	0.1320754716981132	0.5384615384615384	0.2121212121212121	13	0.1388888888888889	0.20116801437556153	0.214265860607324	0.12052591128678085	72	0.2694818808026355	0.1388888888888889	0.10344157151222369	72
0.25	0.024390243902439025	0.04444444444444444	41	0.0	0.0	0.0	18	0.17647058823529413	0.9230769230769231	0.29629629629629634	13	0.18055555555555555	0.14215686274509806	0.3158223889931207	0.11358024691358026	72	0.17422385620915035	0.18055555555555555	0.07880658436213991	72
0.625	0.36585365853658536	0.4615384615384615	41	0.3333333333333333	0.05555555555555555	0.09523809523809525	18	0.15555555555555556	0.5384615384615384	0.24137931034482757	13	0.3194444444444444	0.3712962962962963	0.3199569175178931	0.26605195570712814	72	0.46732253086419756	0.3194444444444444	0.33021241210896385	72
0.6666666666666666	0.04878048780487805	0.0909090909090909	41	1.0	0.05555555555555555	0.10526315789473684	18	0.19117647058823528	1.0	0.32098765432098764	13	0.2222222222222222	0.6192810457516339	0.3681120144534779	0.17238663437493842	72	0.6641476034858387	0.2222222222222222	0.1360395704937615	72
0.3333333333333333	0.024390243902439025	0.04545454545454545	41	0.4	0.1111111111111111	0.1739130434782609	18	0.171875	0.8461538461538461	0.2857142857142857	13	0.19444444444444445	0.30173611111111115	0.3272184003891321	0.168360624882364	72	0.3208478009259259	0.19444444444444445	0.1209494008407052	72
0.0	0.0	0.0	41	0.0	0.0	0.0	18	0.18840579710144928	1.0	0.3170731707317073	13	0.18055555555555555	0.06280193236714976	0.3333333333333333	0.10569105691056911	72	0.03401771336553946	0.18055555555555555	0.05724932249322493	72
0.5	0.024390243902439025	0.046511627906976744	41	0.3333333333333333	0.1111111111111111	0.16666666666666666	18	0.203125	1.0	0.33766233766233766	13	0.2222222222222222	0.3454861111111111	0.3785004516711834	0.18361354407866037	72	0.4047309027777778	0.2222222222222222	0.12911926574717272	72
1.0	0.12195121951219512	0.21739130434782605	41	0.6666666666666666	0.1111111111111111	0.1904761904761905	18	0.203125	1.0	0.33766233766233766	13	0.2777777777777778	0.6232638888888888	0.4110207768744354	0.24850994416211805	72	0.7727864583333334	0.2777777777777778	0.23237812911725955	72
0.3157894736842105	0.14634146341463414	0.19999999999999998	41	0.2727272727272727	0.16666666666666666	0.20689655172413793	18	0.14285714285714285	0.46153846153846156	0.21818181818181817	13	0.20833333333333334	0.24379129642287536	0.25818219720658747	0.2083594566353187	72	0.2738000303789777	0.20833333333333334	0.20500696621386275	72
0.3333333333333333	0.024390243902439025	0.04545454545454545	41	0.2	0.1111111111111111	0.14285714285714285	18	0.1694915254237288	0.7692307692307693	0.2777777777777778	13	0.18055555555555555	0.2342749529190207	0.3015773747481065	0.15536315536315537	72	0.2704174513496547	0.18055555555555555	0.1117524450857784	72
0.5	0.024390243902439025	0.046511627906976744	41	1.0	0.1111111111111111	0.19999999999999998	18	0.19117647058823528	1.0	0.32098765432098764	13	0.2222222222222222	0.5637254901960784	0.3785004516711834	0.18916642740932144	72	0.5692401960784313	0.2222222222222222	0.13444189236609563	72
0.4	0.04878048780487805	0.08695652173913045	41	0.2857142857142857	0.1111111111111111	0.16	18	0.16666666666666666	0.7692307692307693	0.273972602739726	13	0.19444444444444445	0.2841269841269841	0.30970745604891947	0.17364304149295218	72	0.3292989417989418	0.19444444444444445	0.13898418370723314	72
0.5	0.024390243902439025	0.046511627906976744	41	1.0	0.05555555555555555	0.10526315789473684	18	0.18840579710144928	1.0	0.3170731707317073	13	0.20833333333333334	0.5628019323671497	0.35998193315266486	0.15628265217780699	72	0.5687399355877617	0.20833333333333334	0.11005090008060422	72
0.0	0.0	0.0	41	0.3333333333333333	0.05555555555555555	0.09523809523809525	18	0.1791044776119403	0.9230769230769231	0.3	13	0.18055555555555555	0.17081260364842454	0.32621082621082625	0.13174603174603175	72	0.11567164179104478	0.18055555555555555	0.07797619047619048	72
0.0	0.0	0.0	41	0.0	0.0	0.0	18	0.18571428571428572	1.0	0.3132530120481928	13	0.18055555555555555	0.06190476190476191	0.3333333333333333	0.10441767068273093	72	0.03353174603174604	0.18055555555555555	0.056559571619812586	72
0.0	0.0	0.0	41	0.0	0.0	0.0	18	0.18461538461538463	0.9230769230769231	0.3076923076923077	13	0.16666666666666666	0.06153846153846154	0.3076923076923077	0.10256410256410257	72	0.03333333333333334	0.16666666666666666	0.05555555555555555	72
0.0	0.0	0.0	41	0.5	0.05555555555555555	0.09999999999999999	18	0.17391304347826086	0.9230769230769231	0.2926829268292683	13	0.18055555555555555	0.2246376811594203	0.32621082621082625	0.13089430894308943	72	0.15640096618357488	0.18055555555555555	0.07784552845528454	72
0.6666666666666666	0.04878048780487805	0.0909090909090909	41	0.25	0.05555555555555555	0.0909090909090909	18	0.16923076923076924	0.8461538461538461	0.28205128205128205	13	0.19444444444444445	0.36196581196581196	0.3168299631714266	0.1546231546231546	72	0.47268518518518515	0.19444444444444445	0.1254208754208754	72
0.25	0.024390243902439025	0.04444444444444444	41	0.3333333333333333	0.05555555555555555	0.09523809523809525	18	0.16923076923076924	0.8461538461538461	0.28205128205128205	13	0.18055555555555555	0.25085470085470085	0.30869988187061354	0.14057794057794057	72	0.25625	0.18055555555555555	0.10004409171075837	72
