0.precision	0.recall	0.f1-score	0.support	1.precision	1.recall	1.f1-score	1.support	2.precision	2.recall	2.f1-score	2.support	accuracy	macro avg.precision	macro avg.recall	macro avg.f1-score	macro avg.support	weighted avg.precision	weighted avg.recall	weighted avg.f1-score	weighted avg.support
0.6888888888888889	0.7560975609756098	0.7209302325581395	41	0.25	0.15789473684210525	0.1935483870967742	19	0.4117647058823529	0.5	0.45161290322580644	14	0.5540540540540541	0.4502178649237473	0.47133076593923834	0.4553638409602401	74	0.5237723017134781	0.5540540540540541	0.5345694531741042	74
0.6727272727272727	0.9024390243902439	0.7708333333333333	41	0.45454545454545453	0.2631578947368421	0.3333333333333333	19	0.625	0.35714285714285715	0.45454545454545453	14	0.6351351351351351	0.5840909090909091	0.5075799254233144	0.5195707070707071	74	0.6076781326781326	0.6351351351351351	0.5986640049140048	74
0.6285714285714286	0.5365853658536586	0.5789473684210527	41	0.42857142857142855	0.3157894736842105	0.36363636363636365	19	0.32	0.5714285714285714	0.41025641025641024	14	0.4864864864864865	0.4590476190476191	0.47460113698881345	0.45094671410460885	74	0.5188416988416988	0.4864864864864865	0.4917503075397812	74
0.6923076923076923	0.8780487804878049	0.7741935483870966	41	0.46153846153846156	0.3157894736842105	0.37499999999999994	19	0.3333333333333333	0.21428571428571427	0.2608695652173913	14	0.6081081081081081	0.4957264957264957	0.4693746561525765	0.47002103786816263	74	0.5651420651420651	0.6081081081081081	0.5745825594177627	74
0.5909090909090909	0.9512195121951219	0.7289719626168225	41	0.3333333333333333	0.05263157894736842	0.09090909090909091	19	0.4	0.14285714285714285	0.21052631578947364	14	0.5675675675675675	0.4414141414141414	0.3822360779998777	0.343469123105129	74	0.4886568386568387	0.5675675675675675	0.4670606975083119	74
0.6904761904761905	0.7073170731707317	0.6987951807228916	41	0.6666666666666666	0.5263157894736842	0.5882352941176471	19	0.35294117647058826	0.42857142857142855	0.3870967741935484	14	0.6081081081081081	0.5700280112044819	0.5540680970719482	0.5580424163446956	74	0.6205049587402529	0.6081081081081081	0.6114382140078856	74
0.7878787878787878	0.6341463414634146	0.7027027027027027	41	0.4583333333333333	0.5789473684210527	0.5116279069767442	19	0.35294117647058826	0.42857142857142855	0.3870967741935484	14	0.581081081081081	0.5330510992275698	0.547221712818632	0.5338091279576651	74	0.6209802717155658	0.581081081081081	0.5939337281361977	74
0.65625	0.5121951219512195	0.5753424657534246	41	0.6875	0.5789473684210527	0.6285714285714286	19	0.34615384615384615	0.6428571428571429	0.45	14	0.5540540540540541	0.563301282051282	0.5779998777431383	0.5513046314416178	74	0.6056068087318087	0.5540540540540541	0.5652959221452372	74
0.6727272727272727	0.9024390243902439	0.7708333333333333	41	0.75	0.3157894736842105	0.44444444444444436	19	0.36363636363636365	0.2857142857142857	0.32	14	0.6351351351351351	0.5954545454545456	0.5013142612629133	0.5117592592592592	74	0.634090909090909	0.6351351351351351	0.6017379879879879	74
0.6521739130434783	0.7317073170731707	0.6896551724137931	41	0.75	0.3157894736842105	0.44444444444444436	19	0.4	0.5714285714285714	0.47058823529411764	14	0.5945945945945946	0.6007246376811595	0.5396417873953175	0.5348959507174517	74	0.6295828437132786	0.5945945945945946	0.5852505649665893	74
0.7575757575757576	0.6097560975609756	0.6756756756756757	41	0.47368421052631576	0.47368421052631576	0.47368421052631576	19	0.22727272727272727	0.35714285714285715	0.2777777777777778	14	0.527027027027027	0.48617756512493354	0.4801943884100495	0.475712554659923	74	0.5843570843570843	0.527027027027027	0.5485350215079945	74
0.6739130434782609	0.7560975609756098	0.7126436781609194	41	0.3333333333333333	0.21052631578947367	0.2580645161290323	19	0.25	0.2857142857142857	0.26666666666666666	14	0.527027027027027	0.41908212560386476	0.4174460541597897	0.4124582869855395	74	0.5062671367019194	0.527027027027027	0.5115533776267925	74
0.7073170731707317	0.7073170731707317	0.7073170731707317	41	0.35	0.3684210526315789	0.358974358974359	19	0.3076923076923077	0.2857142857142857	0.29629629629629634	14	0.5405405405405406	0.4550031269543464	0.45381747050553206	0.45419590948046235	74	0.5399688149688149	0.5405405405405406	0.5401170401170401	74
0.717391304347826	0.8048780487804879	0.7586206896551724	41	0.6153846153846154	0.42105263157894735	0.5	19	0.4	0.42857142857142855	0.4137931034482759	14	0.6351351351351351	0.5775919732441471	0.5515007029769546	0.5574712643678161	74	0.6311533941968724	0.6351351351351351	0.6269804287045666	74
0.6785714285714286	0.4634146341463415	0.5507246376811594	41	0.3793103448275862	0.5789473684210527	0.45833333333333337	19	0.17647058823529413	0.21428571428571427	0.1935483870967742	14	0.44594594594594594	0.4114507872114363	0.4188825722843694	0.400868786037089	74	0.5067420724114436	0.44594594594594594	0.4594286607785906	74
0.5384615384615384	0.34146341463414637	0.41791044776119407	41	0.2826086956521739	0.6842105263157895	0.39999999999999997	19	0.0	0.0	0.0	14	0.36486486486486486	0.2736900780379041	0.3418913136499786	0.272636815920398	74	0.3708984904637079	0.36486486486486486	0.33424768051633724	74
0.7317073170731707	0.7317073170731707	0.7317073170731707	41	0.4090909090909091	0.47368421052631576	0.43902439024390244	19	0.36363636363636365	0.2857142857142857	0.32	14	0.581081081081081	0.5014781966001478	0.49703527110459067	0.49691056910569104	74	0.5792383292383293	0.581081081081081	0.5786684245220831	74
0.7352941176470589	0.6097560975609756	0.6666666666666666	41	0.5263157894736842	0.5263157894736842	0.5263157894736842	19	0.2857142857142857	0.42857142857142855	0.34285714285714286	14	0.5540540540540541	0.5157747309450095	0.5215477718686962	0.5119465329991645	74	0.5965818759936408	0.5540540540540541	0.5693693693693692	74
0.6739130434782609	0.7560975609756098	0.7126436781609194	41	0.5384615384615384	0.3684210526315789	0.4375	19	0.3333333333333333	0.35714285714285715	0.3448275862068965	14	0.581081081081081	0.5152359717577109	0.493887156916682	0.498323754789272	74	0.5747009551357377	0.581081081081081	0.572411851506679	74
